show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s3805,Movie,The Man Who Feels No Pain,Vasan Bala,India,5/22/2019,2018,TV-14,137 min,"Action & Adventure, Comedies, International Movies"
s4323,Movie,ReMastered: Who Killed Jam Master Jay?,Brian Oakes,United States,12/7/2018,2018,TV-MA,59 min,"Documentaries, Music & Musicals"
s1875,Movie,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",France,10/8/2020,2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals"
s5267,Movie,Gaga: Five Foot Two,Chris Moukarbel,United States,9/22/2017,2017,TV-MA,101 min,"Documentaries, Music & Musicals"
s5468,Movie,Without Gorky,Cosima Spender,United Kingdom,5/31/2017,2011,TV-14,80 min,Documentaries
s6089,Movie,Acts of Violence,Brett Donowho,Canada,8/1/2020,2018,R,87 min,Action & Adventure
s2104,Movie,Class of '83,Atul Sabharwal,India,8/21/2020,2020,TV-14,98 min,"Dramas, International Movies, Thrillers"
s8395,Movie,The Little Mermaid,"Blake Harris, Chris Bouchard",United States,12/1/2018,2018,PG,85 min,"Children & Family Movies, Dramas"
s3778,Movie,Silent,"Limbert Fabian, Brandon Oldenburg",United States,6/4/2019,2014,TV-Y,3 min,"Children & Family Movies, Sci-Fi & Fantasy"
s8792,Movie,Young Adult,Jason Reitman,United States,11/20/2019,2011,R,94 min,"Comedies, Dramas, Independent Movies"
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,6/12/2021,2021,TV-MA,36 min,Movies
s8230,Movie,The Bucket List,Rob Reiner,United States,10/1/2019,2007,PG-13,97 min,"Comedies, Dramas"
s8155,Movie,Tayo the Little Bus Movie: Mission Ace,Ryu Jung-woo,United States,7/1/2019,2016,TV-Y7,48 min,Children & Family Movies
s8601,TV Show,Tobot,Not Given,Canada,9/11/2019,2018,TV-Y7,2 Seasons,"Kids' TV, Korean TV Shows"
s6687,Movie,Elstree 1976,Jon Spira,United Kingdom,9/6/2016,2015,TV-PG,102 min,Documentaries
s353,Movie,The Edge of Seventeen,Kelly Fremon Craig,United States,8/1/2021,2016,R,105 min,"Comedies, Dramas"
s1907,TV Show,Evil,Not Given,United States,10/1/2020,2019,TV-14,1 Season,TV Dramas
s7709,Movie,Paris Is Burning,Jennie Livingston,United States,2/1/2017,1990,R,77 min,"Classic Movies, Cult Movies, Documentaries"
s2145,TV Show,GAME ON: A Comedy Crossover Event,Not Given,United States,8/10/2020,2020,TV-G,1 Season,"Kids' TV, TV Comedies"
s1906,Movie,Cold Harbour,Carey McKenzie,South Africa,10/1/2020,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies"
s7376,TV Show,Maggie & Bianca: Fashion Friends,Iginio Straffi,Italy,3/31/2019,2017,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s3844,TV Show,Away From Home,Not Given,Pakistan,5/8/2019,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
s8730,Movie,Where the Money Is,Marek Kanievska,Germany,1/15/2020,2000,PG-13,89 min,"Action & Adventure, Comedies, Dramas"
s4312,TV Show,Voltron: Legendary Defender,Not Given,United States,12/14/2018,2018,TV-Y7,8 Seasons,Kids' TV
s8334,Movie,The Great Raid,John Dahl,United States,11/1/2019,2005,R,133 min,"Action & Adventure, Dramas"
s7115,Movie,Jackpot,Dustin Nguyen,Vietnam,10/6/2018,2015,TV-14,92 min,"Comedies, Dramas, International Movies"
s702,Movie,Red Snow,Marie Clements,Canada,6/17/2021,2019,TV-MA,96 min,Dramas
s2578,Movie,Cracked Up: The Darrell Hammond Story,Michelle Esrick,United States,5/1/2020,2018,TV-MA,97 min,Documentaries
s5568,TV Show,Outback Truckers,Not Given,Australia,3/17/2017,2015,TV-MA,3 Seasons,Reality TV
s8367,TV Show,The Investigator: A British Crime Story,Not Given,United Kingdom,3/5/2020,2018,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries"
s5552,Movie,The Tenth Man,Daniel Burman,Argentina,4/1/2017,2016,TV-MA,81 min,"Dramas, International Movies"
s162,Movie,Mars Attacks!,Tim Burton,United States,9/1/2021,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy"
s3980,TV Show,Charlie's Colorforms City,Not Given,United States,3/22/2019,2019,TV-Y,1 Season,Kids' TV
s8172,Movie,Tezz,Priyadarshan,United Kingdom,12/1/2017,2012,TV-MA,121 min,"Action & Adventure, International Movies, Music & Musicals"
s5769,TV Show,Love Cheque Charge,Not Given,Taiwan,10/1/2016,2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s4746,Movie,Da Kath & Kim Code,Ted Emery,Australia,7/28/2018,2005,TV-PG,82 min,Movies
s4315,Movie,Vir Das: Losing It,Marcus Raboy,United States,12/11/2018,2018,TV-MA,68 min,Stand-Up Comedy
s6270,Movie,Because We're Heading Out,Khaled El Halafawy,Egypt,4/18/2019,2016,TV-14,99 min,"Comedies, International Movies"
s3866,Movie,Jo Pil-ho: The Dawning Rage,Lee Jeong-beom,South Korea,5/3/2019,2018,TV-MA,128 min,"Dramas, International Movies, Thrillers"
s1128,TV Show,Prank Encounters,Not Given,United States,4/1/2021,2021,TV-MA,2 Seasons,"Reality TV, TV Comedies, TV Horror"
s4275,TV Show,Sirius the Jaeger,Not Given,Japan,12/21/2018,2018,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers"
s6791,Movie,Four Christmases,Seth Gordon,Germany,1/1/2021,2008,PG-13,88 min,"Comedies, Romantic Movies"
